Cód. Atividade|CNAE|Descrição da Atividade/Equipamento|TFLF 2020|TFLF 2021|TFLF 2022|TFLF 2023|TFLF 2024|TFLF 2025
716|G4637101|COMÉRCIO ATACADISTA DE CAFÉ TORRADO, MOÍ|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
731|G4643501|COMÉRCIO ATACADISTA DE CALÇADOS|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
706|G4634601|COMÉRCIO ATACADISTA DE CARNES BOVINAS E|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
709|G4634699|COMÉRCIO ATACADISTA DE CARNES E DERIVADO|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
700|G4632001|COMÉRCIO ATACADISTA DE CEREAIS E LEGUMIN|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
702|G4632003|COMÉRCIO ATACADISTA DE CEREAIS E LEGUMIN|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
711|G4635402|COMÉRCIO ATACADISTA DE CERVEJA, CHOPE E|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
722|G4637107|COMÉRCIO ATACADISTA DE CHOCOLATES, CONFE|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
715|G4636202|COMÉRCIO ATACADISTA DE CIGARROS, CIGARRI|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
766|G4674500|COMÉRCIO ATACADISTA DE CIMENTO|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
705|G4633803|COMÉRCIO ATACADISTA DE COELHOS E OUTROS|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
775|G4681804|COMÉRCIO ATACADISTA DE COMBUSTÍVEIS DE O|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
774|G4681803|COMÉRCIO ATACADISTA DE COMBUSTÍVEIS DE O|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
773|G4681802|COMÉRCIO ATACADISTA DE COMBUSTÍVEIS REAL|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
